Sample,fed,starved,oral,aboral,genet10,genet1,genet2,genet4,genet6,genet7,genet8,genet9
F_10A,1,0,0,1,1,0,0,0,0,0,0,0
S_10O,0,1,1,0,1,0,0,0,0,0,0,0
S_1A,0,1,0,1,0,1,0,0,0,0,0,0
F_1O,1,0,1,0,0,1,0,0,0,0,0,0
S_2A,0,1,0,1,0,0,1,0,0,0,0,0
F_2O,1,0,1,0,0,0,1,0,0,0,0,0
S_4A,0,1,0,1,0,0,0,1,0,0,0,0
F_4O,1,0,1,0,0,0,0,1,0,0,0,0
F_6A,1,0,0,1,0,0,0,0,1,0,0,0
S_6O,0,1,1,0,0,0,0,0,1,0,0,0
F_7A,1,0,0,1,0,0,0,0,0,1,0,0
S_7O,0,1,1,0,0,0,0,0,0,1,0,0
F_8A,1,0,0,1,0,0,0,0,0,0,1,0
S_8O,0,1,1,0,0,0,0,0,0,0,1,0
F_9A,1,0,0,1,0,0,0,0,0,0,0,1
S_9O,0,1,1,0,0,0,0,0,0,0,0,1